                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.64416,                0.50331,                 1.0405,                0.78365,                0.86961,                0.89138,                0.51422,                 1.4632,                0.85656,                 1.8293,                0.00406,                0.00406,                0.00406
                     62,                0.65062,                0.51059,                 1.0574,                 0.8746,                0.83707,                0.87803,                0.50044,                 1.4931,                 0.8456,                 1.8776,               0.003961,               0.003961,               0.003961
                     63,                0.63758,                 0.4875,                 1.0251,                 0.8651,                   0.84,                0.86914,                0.46135,                 1.6041,                 1.0119,                 1.9192,               0.003862,               0.003862,               0.003862
                     64,                 0.6341,                0.49945,                 1.0272,                0.86572,                0.77408,                0.85176,                0.48323,                 1.4924,                0.95577,                 1.9031,               0.003763,               0.003763,               0.003763
                     65,                0.62285,                0.49097,                  1.025,                 0.9949,                   0.84,                 0.8885,                0.51214,                 1.4402,                0.82822,                 1.9296,               0.003664,               0.003664,               0.003664
                     66,                0.61643,                0.47341,                 1.0269,                      1,                  0.871,                 0.8836,                0.49641,                 1.4103,                0.89433,                 1.8736,               0.003565,               0.003565,               0.003565
                     67,                0.61142,                0.46528,                 1.0244,                0.97237,                   0.84,                0.88897,                0.49631,                 1.4527,                0.91359,                 1.7803,               0.003466,               0.003466,               0.003466
                     68,                0.63546,                0.49522,                 1.0331,                0.98509,                   0.72,                0.82022,                 0.4774,                 1.4627,                0.95118,                 1.8517,               0.003367,               0.003367,               0.003367
                     69,                0.59094,                0.45937,                 1.0105,                0.86145,                   0.84,                 0.8361,                 0.4483,                 1.6028,                0.99455,                 1.9972,               0.003268,               0.003268,               0.003268
                     70,                0.61284,                0.48219,                 1.0272,                0.91213,                0.83076,                 0.8506,                0.41822,                 1.6704,                 1.0202,                 2.0574,               0.003169,               0.003169,               0.003169
                     71,                0.59307,                0.46491,                 1.0059,                      1,                0.71623,                 0.8144,                0.44345,                 1.8125,                0.99141,                 2.2628,                0.00307,                0.00307,                0.00307
                     72,                0.59475,                0.46861,                 1.0175,                0.82751,                   0.84,                0.85036,                0.39684,                 1.7476,                0.89951,                 2.1413,               0.002971,               0.002971,               0.002971
                     73,                0.56465,                0.44304,                0.97825,                0.84162,                   0.88,                0.89142,                0.46594,                 1.6078,                0.99855,                 1.9871,               0.002872,               0.002872,               0.002872
                     74,                0.56296,                0.43345,                 0.9976,                0.86961,                   0.84,                0.87765,                0.46621,                 1.6334,                0.93064,                 1.9961,               0.002773,               0.002773,               0.002773
                     75,                0.58888,                 0.4589,                 1.0295,                0.75141,                   0.76,                0.75014,                0.41356,                 1.5812,                 1.0021,                 2.0078,               0.002674,               0.002674,               0.002674
                     76,                0.53243,                0.42867,                0.98059,                 0.8535,                   0.72,                0.73909,                0.43661,                 1.4371,                0.89228,                 2.0007,               0.002575,               0.002575,               0.002575
                     77,                0.54771,                0.42766,                0.98915,                0.86785,                   0.84,                0.88435,                0.50581,                 1.5005,                0.87679,                 2.0517,               0.002476,               0.002476,               0.002476
                     78,                0.53065,                0.42226,                0.97503,                0.87486,                0.83899,                0.89221,                0.51526,                  1.517,                0.91325,                 1.9935,               0.002377,               0.002377,               0.002377
                     79,                0.53028,                0.42631,                 0.9787,                0.91965,                    0.8,                0.89613,                0.50585,                  1.547,                0.93076,                 2.0085,               0.002278,               0.002278,               0.002278
                     80,                0.53783,                0.40601,                0.98792,                0.89953,                    0.8,                0.89281,                0.51997,                 1.4541,                0.89137,                 1.9554,               0.002179,               0.002179,               0.002179
                     81,                0.55621,                0.41407,                 0.9881,                0.90891,                0.79836,                0.86353,                0.51367,                 1.4829,                0.92204,                 1.9829,                0.00208,                0.00208,                0.00208
                     82,                0.54273,                 0.4334,                 0.9984,                0.96777,                    0.8,                0.84155,                0.47993,                 1.5453,                0.96299,                 2.1106,               0.001981,               0.001981,               0.001981
                     83,                0.51069,                0.39605,                0.96733,                0.94928,                   0.76,                  0.826,                0.48073,                  1.577,                0.96919,                 2.1097,               0.001882,               0.001882,               0.001882
                     84,                0.51209,                0.40793,                0.97098,                0.98882,                   0.76,                0.86624,                0.49771,                 1.4852,                0.90415,                 2.0015,               0.001783,               0.001783,               0.001783
                     85,                0.50572,                0.40396,                0.97345,                0.87474,                0.83811,                0.86136,                0.50165,                  1.505,                0.90104,                  2.005,               0.001684,               0.001684,               0.001684
                     86,                0.53043,                0.39872,                0.98387,                0.89192,                   0.84,                0.86068,                0.50945,                 1.4502,                0.87019,                 1.9398,               0.001585,               0.001585,               0.001585
                     87,                0.49394,                0.38621,                0.97587,                      1,                0.75693,                0.85843,                0.50985,                 1.4659,                0.85972,                 1.9297,               0.001486,               0.001486,               0.001486
                     88,                0.50918,                0.39576,                 0.9747,                      1,                0.75762,                0.86234,                0.53499,                 1.4701,                0.86817,                 1.8786,               0.001387,               0.001387,               0.001387
                     89,                0.50005,                0.39667,                 0.9745,                0.93969,                    0.8,                0.91968,                0.53799,                 1.4266,                0.79943,                 1.8497,               0.001288,               0.001288,               0.001288
